DRUG_NAME,UNIPROT_ID,exp_inh,label,pred_score,zscore_mean,rank_mean
Abemaciclib,O00141,57.915,1,-0.709,0.709,416.0
Abemaciclib,O00238,0.0,0,0.927,-0.927,149.0
Abemaciclib,O00311,75.726,1,0.122,-0.122,237.0
Abemaciclib,O00418,7.820999999999998,0,-0.545,0.545,365.0
Abemaciclib,O00444,41.676,0,1.832,-1.832,34.0
Abemaciclib,O00506,22.671000000000006,0,0.07,-0.07,241.0
Abemaciclib,O14578,61.174,1,1.715,-1.715,47.0
Abemaciclib,O14733,0.0,0,1.605,-1.605,62.0
Abemaciclib,O14757,11.847999999999999,0,1.924,-1.924,26.0
Abemaciclib,O14920,10.001000000000005,0,1.853,-1.853,33.0
Abemaciclib,O14965,9.102000000000004,0,0.458,-0.458,192.0
Abemaciclib,O15075,17.885999999999996,0,-0.288,0.288,291.0
Abemaciclib,O15111,48.264,0,1.752,-1.752,42.0
Abemaciclib,O15146,55.743,1,1.142,-1.142,110.0
Abemaciclib,O15264,2.3910000000000053,0,-0.208,0.208,275.0
Abemaciclib,O15530,6.885999999999996,0,0.363,-0.363,207.0
Abemaciclib,O43293,67.521,1,-1.123,1.123,583.0
Abemaciclib,O43318,33.126000000000005,0,1.917,-1.917,27.0
Abemaciclib,O43353,40.743,0,0.515,-0.515,189.0
Abemaciclib,O43781,100.0,1,-0.872,0.872,479.0
Abemaciclib,O60285,38.959,0,-0.13,0.13,262.0
Abemaciclib,O60674,1.328000000000003,0,1.738,-1.738,43.0
Abemaciclib,O75116,36.592,0,-0.23,0.23,279.0
Abemaciclib,O75385,28.087000000000003,0,2.158,-2.158,8.0
Abemaciclib,O75460,46.704,0,-0.881,0.881,482.0
Abemaciclib,O75582,62.82,1,-0.399,0.399,318.0
Abemaciclib,O75676,0.0,0,-0.976,0.976,530.0
Abemaciclib,O75716,94.616,1,-1.428,1.428,617.0
Abemaciclib,O75914,10.739000000000004,0,1.529,-1.529,68.0
Abemaciclib,O94804,72.455,1,1.15,-1.15,109.0
Abemaciclib,O94806,86.084,1,0.998,-0.998,133.0
Abemaciclib,O94921,68.754,1,0.427,-0.427,197.0
Abemaciclib,O95382,7.384,0,-0.015,0.015,248.0
Abemaciclib,O95747,12.626000000000005,0,-0.944,0.944,514.0
Abemaciclib,O95819,55.286,1,1.697,-1.697,49.0
Abemaciclib,O95835,26.644999999999996,0,0.019,-0.019,244.0
Abemaciclib,O96013,1.4590000000000032,0,-0.071,0.071,256.0
Abemaciclib,O96017,7.799999999999997,0,-0.083,0.083,257.0
Abemaciclib,P00519,15.504000000000005,0,0.765,-0.765,169.0
Abemaciclib,P00533,26.941000000000003,0,0.947,-0.947,144.0
Abemaciclib,P04049,0.0,0,-0.478,0.478,345.0
Abemaciclib,P04626,8.195999999999998,0,1.012,-1.012,128.0
Abemaciclib,P04629,21.778000000000006,0,0.934,-0.934,147.0
Abemaciclib,P05129,73.437,1,-0.186,0.186,270.0
Abemaciclib,P05771,62.105,1,0.444,-0.444,194.0
Abemaciclib,P06213,17.245000000000005,0,1.627,-1.627,58.0
Abemaciclib,P06239,8.144000000000005,0,1.317,-1.317,94.0
