UNIPROT,mp_AK,mp_RTM,n,n_pdb,in_pdb
A0A0B4J2F2,0.7590504027395791,0.8917113506186132,92,0,False
A2RU49,0.7313612426718299,0.7088288611225099,91,0,False
A4D2B8,0.7221125240465709,0.9687986455259939,92,0,False
A4QPH2,0.6430357804891742,0.6632604798258626,92,0,False
A5A6K4,0.7922522249208855,0.5214888805333495,92,0,False
O00141,0.3540524814307972,0.22004487818020527,92,2,True
O00142,0.8595500812688065,0.867095613803213,90,0,False
O00238,0.4396745915369825,0.2179748840490218,92,0,False
O00311,0.4584611855441848,0.3905053652439313,92,0,False
O00329,0.36470531891886065,0.23938686198911305,92,9,True
O00418,0.7082310186806603,0.7919686061411082,92,0,False
O00443,0.5912647952128559,0.7800861324634683,92,1,True
O00444,0.22349743594714008,0.22342618169160125,92,1,True
O00506,0.39622609737617415,0.22238355559515838,92,0,False
O00746,0.9570615893461017,0.7775071768196417,92,0,False
O00750,0.4573920467159122,0.9414275727773894,92,0,False
O00764,0.5064278431155873,0.6846968851530104,92,2,True
O14578,0.29707252542999046,0.7263257845796037,92,0,False
O14730,0.891765513366343,0.9366614868166103,92,0,False
O14733,0.16096584508170683,0.16021338727913564,92,10,True
O14757,0.2444067838367184,0.1631979359762275,92,90,True
O14874,0.6616473438759155,0.685946876903051,92,0,False
O14920,0.33323973676633656,0.657790158310574,92,0,False
O14936,0.38016393877867943,0.3126493738220053,92,0,False
O14965,0.17440360671951913,0.04789021533297722,92,95,True
O14976,0.3292346155183375,0.24227233164369116,92,3,True
O14986,0.9845806316966973,0.7564884898882007,91,0,False
O15021,0.7471931520434795,0.6830256855315398,92,0,False
O15075,0.3769382995426796,0.25827274630652214,92,1,True
O15111,0.3764693410564074,0.30447861962369255,92,0,False
O15146,0.3869893362984801,0.4581760687218789,92,0,False
O15264,0.38442279103903965,0.414791653658152,92,4,True
O15530,0.2752528686979963,0.09456929839150015,92,43,True
O43252,0.6956453649458777,0.5828433192741901,92,0,False
O43283,0.54269072981073,0.678679984715761,92,0,False
O43293,0.6456638692339067,0.49296361132428596,92,2,True
O43314,0.5804928982533383,0.6731604357777652,92,5,True
O43318,0.1600341121322628,0.12110610655754254,92,18,True
O43353,0.27015169867837985,0.12653694032581284,92,15,True
O43683,0.3432521301812185,0.2151522065147672,92,1,True
O43781,0.47787258019077894,0.4224904123504971,92,1,True
O43930,0.518906526496365,0.753659359078704,92,0,False
O60285,0.5111208057733839,0.45205670390105995,92,0,False
O60307,0.7012267243647549,0.6262721016079368,92,0,False
O60331,0.7874696858675173,0.8125832812494755,92,0,False
O60361,0.5333337832019702,0.5882817051165289,92,0,False
O60566,0.8467660045762165,0.9559206316094309,92,0,False
O60674,0.12443824386962701,0.05915320897482077,92,66,True
O60825,0.6005154081218927,0.6478987954892726,92,0,False
O75063,0.6854061760551079,0.9128902699041689,92,0,False
O75116,0.3541424200278013,0.23166243096097527,92,2,True
O75191,0.9085882872264683,0.613757655321348,92,1,True
O75385,0.20772972692321692,0.1700745030255448,92,4,True
O75414,0.9621821046968373,0.8363811940022924,92,0,False
O75460,0.24479493754481968,0.15043475087796535,92,7,True
O75582,0.4363673686544348,0.33155287818280443,92,0,False
O75676,0.6365817621215034,0.5073043215373214,92,0,False
O75716,0.6265606896012242,0.5516262910942593,92,0,False
O75912,0.6133131464744153,0.7995080827460284,92,0,False
O75914,0.41562390305761415,0.4193785823876654,92,0,False
O76039,0.3233538697435693,0.316939095800516,92,0,False
O94768,0.36293915186511827,0.15345673134210283,92,0,False
O94804,0.1754414620570929,0.13083543390319582,92,0,False
O94806,0.31518924244726754,0.5543215307946412,92,0,False
O94921,0.420592831764746,0.7132296883021756,92,0,False
O95340,0.6375642080269742,0.5435039873825612,92,0,False
O95382,0.29098088051106563,0.6476938372223543,92,0,False
