UNIPROT_ID,GENE_NAME,in_exp,in_pred,in_merged,n_pairs,n_actives,status,note
,UNMAPPED,True,False,False,0,0,drop: no_prediction(도킹패널에없음),
A0A0B4J2F2,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
A2RU49,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
A4D2B8,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
A4QPH2,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
A5A6K4,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O00141,SGK1,True,True,True,92,1,kept,
O00142,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O00238,BMPR1B,True,True,True,92,1,kept,
O00311,CDC7,True,True,True,92,1,kept,
O00329,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O00418,EEF2K,True,True,True,92,0,kept,
O00443,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O00444,PLK4,True,True,True,92,15,kept,
O00506,STK25,True,True,True,92,6,kept,
O00746,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O00750,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O00764,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O14578,CIT,True,True,True,92,4,kept,
O14730,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O14733,MAP2K7,True,True,True,92,4,kept,
O14757,CHEK1,True,True,True,92,7,kept,
O14874,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O14920,IKBKB,True,True,True,92,0,kept,
O14936,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O14965,AURKA,True,True,True,92,21,kept,
O14976,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O14986,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O15021,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O15075,DCLK1,True,True,True,92,5,kept,
O15111,CHUK,True,True,True,92,1,kept,
O15146,MUSK,True,True,True,92,26,kept,
O15264,MAPK13,True,True,True,92,0,kept,
O15530,PDPK1,True,True,True,92,1,kept,
O43252,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O43283,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O43293,DAPK3,True,True,True,92,7,kept,
O43314,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O43318,MAP3K7,True,True,True,92,6,kept,
O43353,RIPK2,True,True,True,92,14,kept,
O43683,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O43781,DYRK3,True,True,True,92,4,kept,
O43930,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O60285,NUAK1,True,True,True,92,23,kept,
O60307,MAST3,True,True,True,48,0,kept,
O60331,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O60361,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O60566,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O60674,JAK2,True,True,True,92,28,kept,
O60825,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O75063,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O75116,ROCK2,True,True,True,92,3,kept,
O75191,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O75385,ULK1,True,True,True,92,8,kept,
O75414,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O75460,ERN1,True,True,True,92,3,kept,
O75582,RPS6KA5,True,True,True,92,5,kept,
O75676,RPS6KA4,True,True,True,92,6,kept,
O75716,STK16,True,True,True,92,8,kept,
O75912,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O75914,PAK3,True,True,True,92,1,kept,
O76039,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O94768,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O94804,STK10,True,True,True,92,28,kept,
O94806,PRKD3,True,True,True,92,11,kept,
O94921,CDK14,True,True,True,92,3,kept,
O95340,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O95382,MAP3K6,True,True,True,92,0,kept,
O95544,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
O95747,OXSR1,True,True,True,92,2,kept,
O95819,MAP4K4,True,True,True,92,14,kept,
O95835,LATS1,True,True,True,92,7,kept,
O96013,PAK4,True,True,True,92,7,kept,
O96017,CHEK2,True,True,True,92,12,kept,
P00519,ABL1,True,True,True,92,31,kept,
P00533,EGFR,True,True,True,92,26,kept,
P00540,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
P00568,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
P04049,RAF1,True,True,True,92,19,kept,
P04183,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
P04626,ERBB2,True,True,True,92,22,kept,
P04629,NTRK1,True,True,True,92,21,kept,
P05129,PRKCG,True,True,True,92,10,kept,
P05771,PRKCB,True,True,True,92,8,kept,
P06213,INSR,True,True,True,92,13,kept,
P06239,LCK,True,True,True,92,46,kept,
P06241,FYN,True,True,True,92,31,kept,
P06493,CDK1,True,True,True,92,6,kept,
P06732,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
P07205,,False,True,False,0,0,drop: no_experiment(실험데이터없음),
P07332,FES,True,True,True,92,17,kept,
P07333,CSF1R,True,True,True,92,37,kept,
