paper_drug_name,mapped_compound_name,primary_targets_from_table_s1,therapeutic_indications_from_table_s1,paper_fda_status_from_table_s1,canonical_smiles,inchikey_source,source_database,source_url,nature_table_s1_source,mapping_note,rdkit_parse_ok,rdkit_canonical_smiles_from_input,rdkit_inchikey_from_input_smiles,inchikey_matches_rdkit_from_smiles
Abemaciclib,Abemaciclib,"CDK4_CYCLIN_D1, CDK4_CYCLIN_D3, CDK4_CYCLIN_D2, CDK6_CYCLIN_D1, CDK6_CYCLIN_D3, CDK6_CYCLIN_D2","HER2-positive breast cancer, both monotherapy and combination therapy",FDA Approved,CCN1CCN(CC1)Cc2ccc(nc2)Nc3ncc(c(n3)c4cc5c(c(c4)F)nc(n5C(C)C)C)F,UZWDCWONPYILKI-UHFFFAOYSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,UZWDCWONPYILKI-UHFFFAOYSA-N,TRUE
Abrocitinib,Abrocitinib,JAK1,Atopic dermatitis,FDA Approved,CCCS(=O)(=O)NC1CC(C1)N(C)c2c3cc[nH]c3ncn2,IUEWXNHSKRWHDY-UHFFFAOYSA-N,PKIDB current web page,https://www.icoa.fr/pkidb/,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",manual_update_from_current_PKIDB,TRUE,CCCS(=O)(=O)NC1CC(N(C)c2ncnc3[nH]ccc23)C1,IUEWXNHSKRWHDY-UHFFFAOYSA-N,TRUE
Acalabrutinib,Acalabrutinib,BTK,"Mantle cell lymphoma, chronic lymphocytic leukemia, small lymphocytic lymphoma",FDA Approved,CC#CC(=O)N1CCC[C@H]1c2nc(c3n2ccnc3N)c4ccc(cc4)C(=O)Nc5ccccn5,WDENQIQQYWYTPO-IBGZPJMESA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,WDENQIQQYWYTPO-IBGZPJMESA-N,TRUE
Afatinib,Afatinib,"EGFR, ERBB2_HER2, ERBB4_HER4",NSCLC (non-small cell lung cancer) and squamous NSCLC,FDA Approved,CN(C)C/C=C/C(=O)Nc1cc2c(cc1O[C@H]3CCOC3)ncnc2Nc4ccc(c(c4)Cl)F,ULXXDDBFHOBEHA-CWDCEQMOSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,ULXXDDBFHOBEHA-CWDCEQMOSA-N,TRUE
Alectinib,Alectinib,"ALK, RET",Third-line Ph+ chronic myelogenous leukemia (CML) and CML with T315I mutations,FDA Approved,CCc1cc2c(cc1N3CCC(CC3)N4CCOCC4)C(c5c(c6ccc(cc6[nH]5)C#N)C2=O)(C)C,KDGFLJKFZUIJMX-UHFFFAOYSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,KDGFLJKFZUIJMX-UHFFFAOYSA-N,TRUE
Alpelisib,Alpelisib,PI3K,"HR-positive, HER2-negative advanced breast cancer",FDA Approved,Cc1c(sc(n1)NC(=O)N2CCC[C@H]2C(=O)N)c3ccnc(c3)C(C)(C)C(F)(F)F,STUWGJZDJHPWGZ-LBPRGKRZSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,STUWGJZDJHPWGZ-LBPRGKRZSA-N,TRUE
Apatinib,Apatinib,KDR_VEGFR2,Gastric cancer ,NMPA Approved,N#CC1(CCCC1)c1ccc(cc1)NC(=O)c1cccnc1Nc1cnccc1C,MGZNERAVOCFMCU-UHFFFAOYSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,Cc1ccncc1Nc1ncccc1C(=O)Nc1ccc(C2(C#N)CCCC2)cc1,MGZNERAVOCFMCU-UHFFFAOYSA-N,TRUE
Asciminib,Asciminib,"BCR_ABL, ABL1, ABL2_ARG",Ph+ CML,FDA Approved,c1cc(ccc1NC(=O)c2cc(c(nc2)N3CC[C@H](C3)O)c4ccn[nH]4)OC(F)(F)Cl,VOVZXURTCKPRDQ-CQSZACIVSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2ccn[nH]2)c1,VOVZXURTCKPRDQ-CQSZACIVSA-N,TRUE
Avapritinib,Avapritinib,"PDGFRA, PDGFRB",Gastrointestinal stromal tumors with a PDGFRÎ± exon 18 mutation,FDA Approved,C[C@](c1ccc(cc1)F)(c2cnc(nc2)N3CCN(CC3)c4c5cc(cn5ncn4)c6cnn(c6)C)N,DWYRIWUZIJHQKQ-SANMLTNESA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1,DWYRIWUZIJHQKQ-SANMLTNESA-N,TRUE
Axitinib,Axitinib,"FLT1_VEGFR1, KDR_VEGFR2, FLT4_VEGFR3",Advanced renal cell carcinoma,FDA Approved,CNC(=O)c1ccccc1Sc2ccc3c(c2)[nH]nc3/C=C/c4ccccn4,RITAVMQDGBJQJZ-FMIVXFBMSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,RITAVMQDGBJQJZ-FMIVXFBMSA-N,TRUE
Barcitinib,Baricitinib,"JAK1, JAK2",Rheumatoid arthritis,FDA Approved,CCS(=O)(=O)N1CC(C1)(CC#N)n2cc(cn2)c3c4cc[nH]c4ncn3,XUZMWHLSFXCVMG-UHFFFAOYSA-N,PKIDB current web page,https://www.icoa.fr/pkidb/,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",paper_name_typo_corrected_Barcitinib_to_Baricitinib,TRUE,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,XUZMWHLSFXCVMG-UHFFFAOYSA-N,TRUE
Binimetinib,Binimetinib,"MEK1, MEK2",Melanoma with BRAF V600E or V600K mutations with encorafenib,FDA Approved,Cn1cnc2c1cc(c(c2F)Nc3ccc(cc3F)Br)C(=O)NOCCO,ACWZRVQXLIRSDF-UHFFFAOYSA-N,PKIDB 2020 CSV,https://github.com/volkamerlab/pkidb_klifs/raw/refs/heads/master/results/pkidb_20200218.csv,"Nature Supplementary Table S1, https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx",matched_by_normalized_name,TRUE,Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,ACWZRVQXLIRSDF-UHFFFAOYSA-N,TRUE
