pdb,uni,ik14
3my1,P50750,XHSQDZXAVJRBMX
3tn8,P50750,AYZRKFOEZQBUEA
3tnh,P50750,AYZRKFOEZQBUEA
3lq5,P50750,HOCBJBNQIQQQGT
4bch,P50750,SSEDQERECATUBR
4bcj,P50750,NYRVLHGVDPPWJS
4bcf,P50750,DZHBFQMOLIUZMP
4bcg,P50750,BKOYUSKBPMSUBK
3blr,P50750,BIIVYFLTOXDAOV
4bci,P50750,SGOFFNQMBSXTRU
6gzh,P50750,YSPIHUWHLMNFOV
4mk0,P25098,SVALMNHLKNCREX
5ukl,P25098,UWGQNVKEQMCXMS
5ukk,P25098,DXYYFJOVZVSYFY
5he1,P25098,UGYAZGXSMRGKRD
4pnk,P25098,HEAIGWIZTYAQTC
6c2y,P25098,XBLIMSJQQFDWSD
5wg4,P25098,QPWJXBKNAUGRGE
5wg5,P25098,ICFQMYOLILBYFP
3krw,P25098,XYUFCXJZFZPEJD
3krx,P25098,XYUFCXJZFZPEJD
5wg3,P25098,WQIAYJIICYWVKJ
6cq5,Q9UHD2,YLXHHSZCWBYDQH
6bod,Q9UHD2,PFDJAEKKGJFCNL
6cq0,Q9UHD2,UFHZMIKXSGTKFX
6cq4,Q9UHD2,YBTHXDAXRWKGKS
6boe,Q9UHD2,JDIHMNISRGRMDY
5w5v,Q9UHD2,SGRYPYWGNKJSDL
6bny,Q9UHD2,YHCFWEQYIPEHCK
4im0,Q9UHD2,UKBGBACORPRCGG
4fl1,P43405,PVKSNHVPLWYQGJ
4fl2,P43405,PVKSNHVPLWYQGJ
4fl3,P43405,PVKSNHVPLWYQGJ
1xbb,P43405,KTUFNOKKBVMGRW
6hm6,P43405,GEICNUUKZLWKET
4dfl,P43405,UCJDFWBCXROCMH
3fqh,P43405,XZRYCTLOGNCQDG
5cxz,P43405,RIWJHDIYQSQOAT
5lma,P43405,FYJFZOONLWHKMF
5y5t,P43405,DVWCWBAFIKQUNR
5c26,P43405,QJHCMTUHZIJSPR
3vf8,P43405,UJXIKUVGGQECLJ
4fz6,P43405,OLNOLIZABHZSEW
6hm7,P43405,KYANYGKXMNYFBX
4fyo,P43405,GRGCZORIQMQMAN
3fqs,P43405,NHHQJBCNYHBUSI
4i0s,P43405,QROQIIGDSDRLDZ
4rx8,P43405,FPQNRXITKTZFMF
4xg7,P43405,FFTGDASJRVPWKO
3srv,P43405,KBPYMFSSFLOJPH
4wnm,P43405,SHDAHIVOLRESPS
4i0t,P43405,NEVNJCLJFXHCCC
5t68,P43405,MDWXVGCLSBQVMP
4xg4,P43405,OSONANZITXBMIW
4dfn,P43405,KADWYJUBGMHRCN
4xg3,P43405,JEDIVKVRGQEZRX
5lmb,P43405,CLKZDZYGBHNPSM
5cy3,P43405,MKTGBKHCRFUALQ
4i0r,P43405,WWUBOSRORWJGRU
4rx9,P43405,TXGKRVFSSHPBAJ
5tt7,P43405,VPNLOOYVNORYBV
1xbc,P43405,HKSZLNNOFSGOKW
4xg6,P43405,OQBGPKGYCQBCOV
3emg,P43405,PEGXADGTBNRSGV
4puz,P43405,XSMSNFMDVXXHGJ
4rx7,P43405,QYUNZLTYDOGJCE
5cxh,P43405,OTUKQYFHRKKGEI
3fqe,P43405,NZNTWOVDIXCHHS
