uniprot_id,n_pdbbind_complexes
P00918,428
------,354
P56817,344
P24941,255
O60885,202
P00760,194
P00734,181
P07900,172
Q16539,150
Q9H2K2,115
P03366,112
P00489,100
P23639,98
P00742,98
P34913,95
O14965,95
P18031,93
O14757,90
P11309,89
P00749,88
P03367,83
P00533,82
P27487,75
Q9Y233,72
Q00987,71
P03372,69
P00811,67
P19491,66
O60674,66
P00797,66
P37231,65
P61964,64
P02766,64
P48736,63
P51449,63
P68400,62
P08581,57
P04585,55
P28482,55
Q04609,55
Q08499,55
P00517,54
P26663,54
Q06187,52
P43405,50
P39900,50
P33981,49
P03951,49
P14324,49
P61823,48
P15056,46
Q96RI1,46
P49841,45
Q6XEC0,45
P53779,45
P22629,44
P08709,44
O15530,43
P03369,43
P04058,43
Q92793,42
P00523,41
P31947,41
Q07820,41
P17931,40
Q8WSF8,40
P45452,40
O75164,39
C3W5S0,39
P28720,38
P21836,38
P12931,38
P04587,37
P09960,37
P43235,36
P53350,36
P98170,36
P11838,36
P52732,36
Q15370,36
P12497,34
Q9UM73,34
O92972,34
P00800,34
P55201,33
O00408,33
P52333,33
Q9NWZ3,33
P04637,32
P29375,32
P01834,32
P01892,32
Q24451,32
P10275,31
P13053,31
P0A5R0,31
O96935,31
O60341,31
P29317,30
Q38C91,30
O96017,30
Q76353,30
P36639,30
P06202,29
Q08881,29
P43490,29
P35968,29
Q07343,29
P09874,29
P22734,29
O75530,28
P25440,28
Q13526,27
P14174,27
Q9K2N0,27
P58154,27
O67854,27
P28523,26
P52293,26
P23458,26
P11086,26
P42574,26
O76074,26
O00255,25
P08254,25
P09955,25
P19793,25
Q9UIF8,25
Q08638,25
P00720,25
P11362,25
Q13627,24
P41182,24
P02829,24
P06276,24
P53582,24
O38732,23
P12821,23
P06239,23
A8DG50,23
P03368,23
P00746,23
Q13093,23
P01116,22
Q89ZI2,22
P07711,22
O95271,22
P01903,22
A5H660,22
Q02750,21
P0A988,21
P26281,21
O35904,21
Q07817,21
Q04631,21
Q6PL18,21
P49336,21
P42336,21
Q5RZ08,20
P05089,20
Q13451,20
P0A6I6,20
P15090,20
P50579,20
P0AE18,20
P17612,20
P0A4Z6,20
A7YT55,20
P48730,20
P00519,20
Q9HD26,20
O15151,20
A4TVL0,20
Q83883,19
Q13153,19
P31749,19
P36897,19
P01901,19
P15917,19
P29597,19
B1MDI3,19
P0C6U8,19
Q9L5C8,19
Q14680,19
P51955,19
P01112,19
P00772,19
P08235,19
Q9H8M2,19
Q8TEK3,19
O60760,18
P25321,18
P00491,18
P60472,18
P02879,18
Q99683,18
P00915,18
P04629,18
Q13464,18
P29274,18
A5K8L9,18
O43318,18
P78536,18
