UNIPROT_ID	GENE_NAME	paper_name	etc
Q2M2I8	AAK1	AAK1	
P00519	ABL1	ABL1-nonphosphorylated	
P00519	ABL1	ABL1-phosphorylated	
P42684	ABL2	ABL2	
Q04771	ACVR1	ACVR1	
P36896	ACVR1B	ACVR1B	
P27037	ACVR2A	ACVR2A	
Q13705	ACVR2B	ACVR2B	
P37023	ACVRL1	ACVRL1	
Q8NI60	COQ8A	ADCK3	COQ8A
Q96D53	COQ8B	ADCK4	COQ8B
P31749	AKT1	AKT1	
P31751	AKT2	AKT2	
Q9Y243	AKT3	AKT3	
Q9UM73	ALK	ALK	
Q13131	PRKAA1	AMPK-alpha1	AMPKα1 = PRKAA1
P54646	PRKAA2	AMPK-alpha2	AMPKα2 = PRKAA2
Q8NFD2	ANKK1	ANKK1	
O60285	NUAK1	ARK5	NUAK1
Q99683	MAP3K5	ASK1	MAP3K5
O95382	MAP3K6	ASK2	MAP3K6
O14965	AURKA	AURKA	
Q96GD4	AURKB	AURKB	
Q9UQB9	AURKC	AURKC	
P30530	AXL	AXL	
Q9NSY1	BMP2K	BIKE	
P51451	BLK	BLK	
P36894	BMPR1A	BMPR1A	
O00238	BMPR1B	BMPR1B	
Q13873	BMPR2	BMPR2	
P51813	BMX	BMX	
P15056	BRAF	BRAF	
Q13882	PTK6	BRK	
Q8TDC3	BRSK1	BRSK1	
Q8IWQ3	BRSK2	BRSK2	
Q06187	BTK	BTK	
O43683	BUB1	BUB1	
Q14012	CAMK1	CAMK1	
Q6P2M8	PNCK	CAMK1B	
Q8IU85	CAMK1D	CAMK1D	
Q96NX5	CAMK1G	CAMK1G	
Q9UQM7	CAMK2A	CAMK2A	
Q13554	CAMK2B	CAMK2B	
Q13557	CAMK2D	CAMK2D	
Q13555	CAMK2G	CAMK2G	
Q16566	CAMK4	CAMK4	
Q8N5S9	CAMKK1	CAMKK1	
Q96RR4	CAMKK2	CAMKK2	
O14936	CASK	CASK	
P21127	CDK11B	CDC2L1	통용명/별칭 — 공식 유전자 기호 CDK11B
Q9UQ88	CDK11A	CDC2L2	통용명/별칭 — 공식 유전자 기호 CDK11A
Q14004	CDK13	CDC2L5	통용명/별칭 — 공식 유전자 기호 CDK13
P21127	CDK11B	CDK11	CDK11=CDK11B(PITSLRE). 본 패널의 CDC2L1과 동일 단백질(중복 가능)
P24941	CDK2	CDK2	
Q00526	CDK3	CDK3	
P11802	CDK4	CDK4	
P11802	CDK4	CDK4-cyclinD1	CDK4–cyclin D1 복합체
P11802	CDK4	CDK4-cyclinD3	CDK4–cyclin D3 복합체
Q00535	CDK5	CDK5	
P50613	CDK7	CDK7	
P49336	CDK8	CDK8	
P50750	CDK9	CDK9	
Q00532	CDKL1	CDKL1	
Q92772	CDKL2	CDKL2	
Q8IVW4	CDKL3	CDKL3	
O76039	CDKL5	CDKL5	
O14757	CHEK1	CHEK1	
O96017	CHEK2	CHEK2	
O14578	CIT	CIT	
P49759	CLK1	CLK1	
P49760	CLK2	CLK2	
P49761	CLK3	CLK3	
Q9HAZ1	CLK4	CLK4	
P07333	CSF1R	CSF1R	
P07333	CSF1R	CSF1R-autoinhibited	CSF1R 자가억제형 구조
P41240	CSK	CSK	
P48729	CSNK1A1	CSNK1A1	
Q8N752	CSNK1A1L	CSNK1A1L	
P48730	CSNK1D	CSNK1D	
P49674	CSNK1E	CSNK1E	
Q9HCP0	CSNK1G1	CSNK1G1	
P78368	CSNK1G2	CSNK1G2	
Q9Y6M4	CSNK1G3	CSNK1G3	
P68400	CSNK2A1	CSNK2A1	
P19784	CSNK2A2	CSNK2A2	
P42679	MATK	CTK	통용명/별칭 — 공식 유전자 기호 MATK
P53355	DAPK1	DAPK1	
Q9UIK4	DAPK2	DAPK2	
O43293	DAPK3	DAPK3	
O15075	DCLK1	DCAMKL1	통용명/별칭 — 공식 유전자 기호 DCLK1
Q8N568	DCLK2	DCAMKL2	통용명/별칭 — 공식 유전자 기호 DCLK2
Q9C098	DCLK3	DCAMKL3	통용명/별칭 — 공식 유전자 기호 DCLK3
Q08345	DDR1	DDR1	
Q16832	DDR2	DDR2	
Q12852	MAP3K12	DLK	키나제 DLK=MAP3K12(leucine zipper). 별칭 충돌하는 DLK1(P80370)은 비키나제라 교정
Q09013	DMPK	DMPK	
Q6DT37	CDC42BPG	DMPK2	통용명/별칭 — 공식 유전자 기호 CDC42BPG
Q9UEE5	STK17A	DRAK1	통용명/별칭 — 공식 유전자 기호 STK17A
O94768	STK17B	DRAK2	통용명/별칭 — 공식 유전자 기호 STK17B
Q13627	DYRK1A	DYRK1A	
Q9Y463	DYRK1B	DYRK1B	
Q92630	DYRK2	DYRK2	
P00533	EGFR	EGFR	
Q9BQI3	EIF2AK1	EIF2AK1	
P21709	EPHA1	EPHA1	
P29317	EPHA2	EPHA2	
P29320	EPHA3	EPHA3	
P54764	EPHA4	EPHA4	
P54756	EPHA5	EPHA5	
Q9UF33	EPHA6	EPHA6	
Q15375	EPHA7	EPHA7	
P29322	EPHA8	EPHA8	
P54762	EPHB1	EPHB1	
P29323	EPHB2	EPHB2	
P54753	EPHB3	EPHB3	
P54760	EPHB4	EPHB4	
O15197	EPHB6	EPHB6	
P04626	ERBB2	ERBB2	
P21860	ERBB3	ERBB3	
Q15303	ERBB4	ERBB4	
P27361	MAPK3	ERK1	통용명/별칭 — 공식 유전자 기호 MAPK3
