#,KIR,Kinase_ref,PKIS2
1,Abemaciclib,CK_15,GSK1033723
2,Abrocitinib,CK_17,GSK2283293
3,Alectinib,CK_22,GSK2286062
4,Axitinib,SU9516,GSK2576924
5,Bosutinib,Silmitasertib,GSK2606414
6,Brigatinib,,GW271431
7,Capivasertib,,GW679662
8,Cobimetinib,,GW767488
9,Crizotinib,,GW839464
10,Dabrafenib,,GW855857
11,Dasatinib,,GW857175
12,Deucravacitinib,,PFE-PKIS-10
13,Entrectinib,,PFE-PKIS-21
14,Futibatinib,,PFE-PKIS-25
15,Gefitinib,,PFE-PKIS-26
16,Imatinib,,PFE-PKIS-32
17,Infigratinib,,PFE-PKIS-37
18,Lapatinib,,PFE-PKIS-38
19,Lorlatinib,,PFE-PKIS-39
20,Midostaurin,,PFE-PKIS-4
21,Nilotinib,,PFE-PKIS-41
22,Nintedanib,,PFE-PKIS-6
23,Palbociclib,,PFE-PKIS-8
24,Ponatinib,,SB-601273
25,Ribociclib,,TPKI-101
26,Sorafenib,,TPKI-107
27,Sunitinib,,TPKI-114
28,Tepotinib,,TPKI-32
29,Tivozanib,,TPKI-34
30,Tofacitinib,,TPKI-43
31,Vandetanib,,TPKI-48
32,,,TPKI-59
