Panel,Fusion method,Per-drug ROC,Hit@1,Hit@10,EF1%,R-precision,p vs AK-Score2
KIR (n = 53),AK (single),0.700,0.43,0.81,5.89,0.252,nan
KIR (n = 53),RTM (single),0.712,0.45,0.89,9.44,0.287,0.298
KIR (n = 53),RRF k=10,0.730,0.49,0.85,10.20,0.272,< 0.001
KIR (n = 53),RRF k=30,0.731,0.51,0.92,8.48,0.278,< 0.001
KIR (n = 53),RRF k=60,0.732,0.49,0.91,8.56,0.279,< 0.001
KIR (n = 53),RRF k=100,0.733,0.49,0.91,8.74,0.277,< 0.001
KIR (n = 53),Borda (rank-sum),0.732,0.51,0.89,8.74,0.270,< 0.001
KIR (n = 53),z-avg (equal),0.731,0.51,0.92,11.16,0.314,< 0.001
KIR (n = 53),weighted z-avg* (w_AK=0.5),0.731,0.51,0.92,11.16,0.314,< 0.001
PKIS2 (n = 603),AK (single),0.583,0.25,0.66,4.07,0.153,nan
PKIS2 (n = 603),RTM (single),0.574,0.30,0.65,4.36,0.163,0.214
PKIS2 (n = 603),RRF k=10,0.591,0.32,0.71,4.82,0.175,0.025
PKIS2 (n = 603),RRF k=30,0.592,0.31,0.70,4.75,0.173,0.012
PKIS2 (n = 603),RRF k=60,0.592,0.30,0.69,4.64,0.171,0.007
PKIS2 (n = 603),RRF k=100,0.591,0.30,0.70,4.60,0.169,0.004
PKIS2 (n = 603),Borda (rank-sum),0.589,0.29,0.69,4.56,0.168,< 0.001
PKIS2 (n = 603),z-avg (equal),0.593,0.33,0.71,5.13,0.176,< 0.001
PKIS2 (n = 603),weighted z-avg* (w_AK=0.6),0.594,0.31,0.71,5.06,0.176,< 0.001
