Compound,Intended target,Unit,Screened panel,Values released,Ranking pool,Active,Inactive,Strongest measured,Labels usable
CK_16,CK2 (CSNK2A1/A2),1uM,403,12,383,12,471,CSNK2A2,yes
CK_18,CK2 (CSNK2A1/A2),1uM,403,21,383,21,460,CSNK2A2,yes
CK_19,CK2 (CSNK2A1/A2),1uM,403,19,383,19,463,CSNK2A2,yes
CK_20,CK2 (CSNK2A1/A2),1uM,403,3,383,3,480,CSNK2A2,yes
CK_24,CK2 (CSNK2A1/A2),1uM,403,9,383,9,472,CSNK2A2,yes
CK_26,CK2 (CSNK2A1/A2),1uM,403,4,383,4,477,CSNK2A2,yes
CK_27,CK2 (CSNK2A1/A2),1uM,403,9,383,9,472,CSNK2A2,yes
CK_31,CK2 (CSNK2A1/A2),1uM,403,16,383,16,465,ERK2,yes
CK_32,CK2 (CSNK2A1/A2),1uM,403,2,383,2,481,RIOK1,yes
AnnH75,DYRK1A,1uM,300,300,238,12,288,CLK4,yes
DYRK_11,DYRK1A/1B,1uM,468,468,380,18,450,JAK3,yes
DYRK_18,DYRK1A/1B,1uM,468,468,381,12,456,MAP3K10,yes
DYRK_22,DYRK1A/1B,1uM,468,468,380,41,427,GSG2,yes
DYRK_24,DYRK1A/1B,1uM,468,468,380,7,461,GSG2,yes
DYRK_29,DYRK1A/1B,1uM,468,468,380,24,444,DYRK1A,yes
DYRK_31,DYRK1A/1B,1uM,468,468,380,7,461,HUNK,yes
DYRK_33,DYRK1A/1B,1uM,468,468,380,22,446,KIT,yes
DYRK_34,DYRK1A/1B,1uM,468,468,380,19,449,DYRK1A,yes
DYRK_63,DYRK1A/1B,1uM,468,468,381,21,447,PAK7,yes
DYRK_66,DYRK1A/1B,1uM,468,468,380,13,455,DYRK1A,yes
DYRK_70,DYRK1A/1B,1uM,468,468,380,30,438,ERBB2,yes
DYRK_95,DYRK1A/1B,1uM,468,468,380,7,461,DYRK1A,yes
GAK1,GAK,1uM,406,406,380,13,393,GAK,yes
GAK1N,GAK,10uM,406,406,380,8,398,IRAK3,yes
GAK_1,GAK,1uM,468,468,356,20,448,GAK,yes
GAK_15,GAK,1uM,468,468,356,30,438,ABL1(H396P)-nonphosphorylated,yes
BAY-1143269,MNK1/2,nM,395,3,—,,,MNK1,no
ETC-206,MNK1/2,nM,414,29,27,,,FLT3,no
Comp8,PERK (EIF2AK3),10uM,300,299,249,81,218,MLK2/MAP3K10,yes
PKN2_3,PKN1/2,1uM,468,372,335,35,337,CIT,yes
PKN2_8,PKN1/2,1uM,468,372,335,37,335,FLJ23074,yes
STK_31,SLK / STK10,1uM,468,468,380,30,438,JAK3,yes
STK_41,SLK / STK10,1uM,468,468,380,51,417,JAK3,yes
STK_53,SLK / STK10,100nM,468,468,380,9,459,CLK3,yes
STK_81,SLK / STK10,1uM,468,468,380,25,443,CLK4,yes
STK_82,SLK / STK10,100nM,468,468,380,7,461,JAK3,yes
UNC-CA2-044,TLK2,1uM,468,468,381,81,387,JAK2,yes
UNC-CA2-067,TLK2,1uM,468,468,381,36,432,FLT3,yes
UNC-CA2-068,TLK2,1uM,468,468,381,52,416,MYLK4,yes
UNC-CA2-069,TLK2,1uM,468,468,381,49,419,SRPK2,yes
UNC-CA2-113,TLK2,1uM,468,468,381,29,439,BMP2K,yes
UNC-CA2-141,TLK2,1uM,468,468,381,67,401,FLT3,yes
UNCCA2-005,TLK2,1uM,468,468,380,192,276,BMPR2,yes
UNCCA2-103,TLK2,1uM,468,468,381,65,403,MYLK4,yes
