UniProt,Gene,Per-target ROC,EF1%,n_pdb,AK mean pctl,RTM mean pctl
P36894,BMPR1A,0.000,0.00,0,0.427,0.482
O00141,SGK1,0.011,0.00,2,0.354,0.220
O43781,DYRK3,0.085,0.00,1,0.478,0.422
P53778,MAPK12,0.110,0.00,0,0.632,0.970
Q9HBY8,SGK2,0.128,0.00,0,0.587,0.767
P45985,MAP2K4,0.143,0.00,0,0.503,0.368
Q96GX5,MASTL,0.143,0.00,1,0.533,0.598
O00238,BMPR1B,0.143,0.00,0,0.440,0.218
Q8N752,CSNK1A1L,0.165,0.00,0,0.546,0.859
Q52WX2,SBK1,0.176,0.00,0,0.511,0.818
Q9UIK4,DAPK2,0.182,0.00,0,0.653,0.635
Q86UX6,STK32C,0.198,0.00,0,0.296,0.800
Q13177,PAK2,0.209,0.00,0,0.482,0.408
Q9BUB5,MKNK1,0.231,0.00,0,0.417,0.521
Q13153,PAK1,0.231,0.00,19,0.220,0.123
Q8IVT5,KSR1,nan,nan,0,0.639,0.515
Q8IW41,MAPKAPK5,nan,nan,0,0.286,0.501
Q8TDR2,STK35,nan,nan,0,0.282,0.641
Q8TDX7,NEK7,nan,nan,0,0.542,0.237
Q8WU08,STK32A,nan,nan,0,0.367,0.348
Q96KB5,PBK,nan,nan,0,0.467,0.774
Q96PN8,TSSK3,nan,nan,0,0.594,0.579
Q96QT4,TRPM7,nan,nan,0,0.749,0.804
Q99683,MAP3K5,nan,nan,18,0.193,0.172
Q9BXA6,TSSK6,nan,nan,0,0.718,0.618
Q9H4B4,PLK3,nan,nan,0,0.457,0.371
Q9HC98,NEK6,nan,nan,0,0.579,0.488
Q9P1W9,PIM2,nan,nan,1,0.449,0.388
Q9UKI8,TLK1,nan,nan,0,0.416,0.610
Q9Y3S1,WNK2,nan,nan,0,0.509,0.980
